id,name,place,start_day,end_day
367,第58回三鷹市陸上競技選手権大会 兼 第46回三鷹市陸上競技記録会,味の素スタジアム 西競技場,2015-05-05,2015-05-05
368,第94回関東学生陸上競技対校選手権大会,日産スタジアム,2015-05-16,2015-05-16
369,第63回東京地区国公立大学対校陸上競技大会,,2015-05-30,2015-05-30
370,第64回東京地区国公立大学対校陸上競技大会,,2015-05-30,2015-05-30
371,2015日本学生陸上競技個人選手権大会,スタジアム平塚,2015-06-13,2015-06-13
372,第91回日本体育大学陸上競技会,日本体育大学健志台陸上競技場,2015-06-20,2015-06-20
373,第12回13大学対校陸上競技大会,八王子市上柚木公園陸上競技場,2015-07-05,2015-07-05
374,第5回国士舘大学陸上競技会,国士舘大学多摩陸上競技場,2015-07-25,2015-07-25
375,第70回石川国民体育大会,石川県西武緑地公園陸上競技場,2015-07-19,2015-07-19
376,平成27年度夏季川越市陸上競技記録会,,2015-08-30,2015-08-30
377,天皇賜盃第84回日本学生陸上競技対校選手権大会,ヤンマースタジアム長居・ヤンマーフィールド長居,2015-09-12,2015-09-12
378,第40回石川県ナイター陸上競技大会,小松運動公園末広陸上競技場,2015-08-29,2015-08-29
379,第47回関東理工系学生対校陸上競技大会,駒場運動公園競技場,2015-09-20,2015-09-20
380,第30回　国公立25大学対抗陸上競技大会,とうほう・みんなのスタジアム,2015-10-10,2015-10-10
381,第９回小松市陸上競技フェスティバル,小松末広陸上競技場,2015-10-18,2015-10-18
382,平成27年度第7回国士舘大学競技会,国士舘大学多摩陸上競技場,2015-10-30,2015-10-30
383,第21回東京大学競技会,東京大学陸上競技場,2015-11-08,2015-11-08
384,第２４７回　日本体育大学長距離競技会,日本体育大学健志台陸上競技場,2015-11-15,2015-11-15
385,第２４８回　日本体育大学長距離競技会,日本体育大学健志台陸上競技場,2015-12-06,2015-12-06
386,題98回　日本陸上選手権大会,,2015-06-06,2015-06-06
387,第14回かわさき陸上競技フェスティバル,川崎市等々力陸上競技場,2015-10-18,2015-10-18
388,第16回荒川河川敷対校駅伝,荒川河川敷,2015-12-20,2015-12-20
389,第13回国公立25大対校駅伝大会,熊谷スポーツ文化公園,2016-01-16,2016-01-16
390,第６０回調布市民駅伝競走大会,,2016-01-31,2016-01-31
391,第８回国士舘大学競技会,国士舘大学多摩陸上競技場,2016-03-26,2016-03-26
392,平成２８年度関東学連春季オープン,国士舘大学多摩陸上競技場,2016-03-27,2016-03-27
393,平成28年度第一回七尾城山記録会,七尾市営城山陸上競技場　,2016-04-24,2016-04-24
394,平成28年度第2回国士舘大学競技会,国士舘大学多摩陸上競技場,2016-04-30,2016-04-30
395,第93回日本体育大学陸上競技会,日本体育大学健志台陸上競技場,2016-05-04,2016-05-04
396,第77回石川県陸上競技選手権,,2016-05-07,2016-05-07
397,第79 回東京陸上競技選手権大会,駒沢オリンピック公園総合運動場陸上競技場,2016-05-07,2016-05-07
398,第95回関東学生陸上競技対校選手権大会,日産スタジアム,2016-05-21,2016-05-21
399,第64回東京地区国公立対校陸上競技大会,町田市立陸上競技場,2016-05-29,2016-05-29
400,第13回13大学対校陸上競技大会,,2016-06-12,2016-06-12
401,第171回東海大学記録会,東海大学陸上競技場,2016-07-02,2016-07-02
402,第2回東京学芸大学ナイター競技会,東京学芸大学総合グラウンド,2016-07-09,2016-07-09
403,第７１回 国民体育大会陸上競技石川県予選会,,2016-07-17,2016-07-17
404,第11回N.S.S.U.オープン競技会,日本体育大学健志台陸上競技場,2016-08-06,2016-08-06
405,第60回北陸陸上競技選手権大会,新潟市陸上競技場?,2016-08-28,2016-08-28
406,第48回関東理工系学生対校陸上競技大会,鴻巣市陸上競技場,2016-09-11,2016-09-11
407,第31回国公立26大学陸上競技大会,Shonan BMW スタジアム平塚,2016-09-21,2016-09-21
408,小松市陸上競技フェスティバル,小松運動公園末広陸上競技場,2016-10-02,2016-10-02
409,第253回日体大長距離記録会,,2016-10-22,2016-10-22
410,第15回かわさき陸上競技フェスティバル,川崎市等々力陸上競技場,2016-10-29,2016-10-29
411,第23回東京大学陸上競技会,東京大学,2016-11-06,2016-11-06
412,第167回東海大長距離記録会,,2016-11-27,2016-11-27
413,第２５５回　日本体育大学長距離競技会,,2016-12-03,2016-12-03
414,第78回奥多摩渓谷駅伝競走大会,,2016-12-04,2016-12-04
415,第17回荒川大学対校駅伝,,2016-12-19,2016-12-19
416,第180回松戸記録会,,2016-12-23,2016-12-23
417,第14回国公立26大学対抗駅伝大会,,2017-01-14,2017-01-14
418,第61回調布市民駅伝競走大会,,2017-01-29,2017-01-29
419,第24回東京大学陸上競技会,東京大学陸上競技場,2017-03-18,2017-03-19
420,平成28年度関東学連春季オープン競技会,江戸川区陸上競技場,2017-03-25,2017-03-26
421,平成29年度第1回国士舘大学競技会,国士舘大学多摩陸上競技場,2017-04-01,2017-04-02
422,第99回日本体育大学陸上競技会,日本体育大学健志台陸上競技場,2017-04-29,2017-04-30
423,平成29年度第2回国士舘大学競技会,国士舘大学多摩陸上競技場,2017-05-06,2017-05-07
424,第96回関東学生陸上競技対校選手権大会,日産スタジアム,2017-05-25,2017-05-28
425,第２５７回日本体育大学長距離競技会,日本体育大学健志台陸上競技場,2017-06-03,2017-06-04
426,第1回慶応大学記録会,慶応大学日吉キャンパス,2017-06-04,2017-06-04
427,第1回山梨県長距離記録会,山梨中銀スタジアム,2017-06-10,2017-06-10
428,第65回東京地区国公立対抗陸上競技大会,鴻巣市立陸上競技場,2017-06-17,2017-06-17
429,第14回13大学対校陸上競技大会,上柚木公園陸上競技場,2017-06-25,2017-06-25
430,第3回東京学芸大学ナイター競技会,東京学芸大学総合グラウンド,2017-07-08,2017-07-08
431,第5回国士舘大学競技会,国士舘大学多摩キャンパス,2017-07-22,2017-07-23
432,第15回 渋谷区陸上競技会,駒沢オリンピック公園総合運動場陸上競技場,2017-07-29,2017-07-30
433,第56回はちおうじＴ＆Ｆトライアル,上柚木公園陸上競技場,2017-08-27,2017-08-27
434,第4回小松市陸上競技記録会,勧進帳スタジアム（末広陸上競技場）,2017-09-03,2017-09-03
435,第59回北信選手権大会,長野市営陸上競技場,2017-09-02,2017-09-03
436,第32回国公立26大学対校陸上競技大会,正田醤油スタジアム群馬,2017-09-15,2017-09-17
437,第6回国士舘大学競技会,国士舘大学多摩陸上競技場,2017-09-30,2017-10-01
438,かわさき陸上競技フェスティバル 2017,等々力陸上競技場,2017-10-21,2017-10-22
439,第25回東京大学陸上競技会,東京大学陸上競技場,2017-11-04,2017-11-05
440,第7回国士舘記録会,国士舘大学多摩陸上競技場,2017-11-04,2017-11-05
441,第２６０回日本体育大学長距離競技会,日本体育大学健志台陸上競技場,2017-11-11,2017-11-12
442,平成29年度関東学連春季オープン競技会,江戸川区陸上競技場,2018-03-23,2018-03-24
443,第1回国士舘大学競技会,国士舘大学多摩陸上競技場,2018-03-31,2018-04-01
444,第2回国士舘大学競技会,国士舘大学多摩陸上競技場,2018-05-05,2018-05-06
445,第97回関東学生陸上競技対校選手権大会,相模原ギオンスタジアム ,2018-05-24,2018-05-27
446,第66回東京地区国公立大学対校陸上競技大会,上柚木公園陸上競技場,2018-06-09,2018-06-09
447,第15回14大学対校陸上競技大会,上柚木公園陸上競技場,2018-06-24,2018-06-24
448,第5回国士舘大学競技会,国士舘大学多摩陸上競技場,2018-07-21,2018-07-22
