competition,result,round,group,rane,finish,athlete_id,tournament_id,grade,established_date,information,condition,official
man_5000m,1065550,,1,"",8,64,89,,2005-12-03,,,true
man_5000m,1113450,,1,"",15,45,89,,2005-12-03,,,true
man_1500m,263320,,"","","",56,188,,2009-04-18,,,true
man_1500m,263320,,"","","",56,188,b3,2009-04-18,,,true
man_800m,127230,,5,1,"",63,188,,2009-04-18,,,true
man_800m,127230,,5,1,"",63,188,b2,2009-04-18,,,true
man_10000m,2001660,,1,3,3,51,188,,2009-04-18,,,true
man_10000m,2001660,,1,3,"",51,188,m1,2009-04-18,,,true
man_800m,126800,,3,1,"",63,189,,2009-05-03,PB,,true
man_800m,126800,,3,1,"",63,189,b2,2009-05-03,PB,,true
man_5000m,967320,,2,"","",51,189,,2009-05-03,,,true
man_5000m,967320,,2,"","",51,189,m1,2009-05-03,,,true
man_5000m,977820,,1,"","",138,189,,2009-05-03,PB,,true
man_5000m,977820,,1,"","",138,189,b4,2009-05-03,PB,,true
man_5000m,1001790,,1,"","",56,189,,2009-05-03,,,true
man_5000m,1001790,,1,"","",56,189,b3,2009-05-03,,,true
man_5000m,1077500,,1,"","",64,189,,2009-05-03,,,true
man_5000m,1077500,,1,"","",64,189,b2,2009-05-03,,,true
man_5000m,1151500,,1,"","",45,189,,2009-05-03,,,true
man_5000m,1151500,,1,"","",45,189,b4,2009-05-03,,,true
man_5000m,1223740,,1,"","",54,189,,2009-05-03,,,true
man_5000m,1223740,,1,"","",54,189,b3,2009-05-03,,,true
man_1500m,254350,タイムレース決勝,1,13,"",56,193,b3,2009-05-31,PB,,true
man_800m,125550,予選,2,6,"",63,193,b2,2009-05-31,PB,,true
man_1500m,274890,タイムレース決勝,2,11,"",64,193,b2,2009-05-31,,,true
man_5000m,967020,タイムレース決勝,1,20,"",138,193,b4,2009-05-31,PB,,true
man_5000m,979320,OP,1,12,"",57,193,b3,2009-05-31,,,true
man_5000m,980140,タイムレース決勝,1,9,"",51,193,m1,2009-05-31,,,true
man_5000m,1007820,タイムレース決勝,1,22,"",56,193,b3,2009-05-31,,,true
man_5000m,1133600,OP,3,17,"",45,193,b4,2009-05-31,,,true
man_5000m,1147290,OP,3,15,"",54,193,b3,2009-05-31,,,true
man_5000m,1202440,OP,3,23,"",68,193,b1,2009-05-31,,,true
man_800m,129200,予選,4,7,"",139,193,b1,2009-05-31,,,true
man_800m,132260,予選,3,7,"",64,193,b2,2009-05-31,,,true
man_1500m,255870,,3,"","",56,194,b3,2009-06-06,,,true
man_1500m,268440,,2,"","",50,194,m2,2009-06-06,,,true
man_5000m,959930,,3,"","",51,194,m1,2009-06-06,,,true
man_5000m,963230,,2,"","",57,194,b3,2009-06-06,,,true
man_1500m,286480,,1,"","",139,194,b1,2009-06-06,,,true
man_1500m,296500,,1,"","",68,194,b1,2009-06-06,,,true
man_5000mW,1613900,,"","","",64,194,b2,2009-06-06,PB,,true
man_1500m,254400,タイムレース決勝,1,10,"",56,196,b3,2009-06-28,,,true
man_1500m,264960,タイムレース決勝,2,5,"",50,196,m2,2009-06-28,,,true
man_1500m,266790,OP,1,22,"",51,196,m1,2009-06-28,,,true
man_800m,128740,予選,3,6,"",139,196,b1,2009-06-28,,PB,true
man_1500m,276460,OP,1,21,"",53,196,b3,2009-06-28,,,true
man_5000m,937910,決勝,"",15,"",57,196,b3,2009-06-28,,4位,true
man_5000m,977260,OP,1,8,"",138,196,b4,2009-06-28,,,true
man_5000m,984380,決勝,"",12,"",51,196,m1,2009-06-28,,,true
man_5000m,1137610,OP,3,10,"",45,196,b4,2009-06-28,,,true
man_5000m,1157100,OP,3,3,"",68,196,b1,2009-06-28,,,true
man_5000m,1243220,OP,3,2,"",54,196,b3,2009-06-28,,,true
man_1500m,281410,OP,1,17,"",139,196,b1,2009-06-28,,,true
man_1500m,281590,OP,1,16,"",64,196,b2,2009-06-28,,,true
man_5000mW,1792630,,"","","",64,16,b2,2002-04-27,,,true
man_1500m,260310,,5,2,"",51,200,,2009-08-29,,,true
man_1500m,283260,,2,2,"",68,200,,2009-08-29,,,true
man_1500m,260250,予選,1,7,"",56,201,b3,2009-09-12,,,true
man_1500m,265450,予選,2,27,"",53,201,b3,2009-09-12,,,true
man_1500m,268680,予選,3,15,"",50,201,m2,2009-09-12,,,true
man_3000mSC,612480,予選,1,14,"",51,201,m1,2009-09-12,,q,true
man_3000mSC,617680,決勝,"",16,"",51,201,m1,2009-09-12,,,true
man_1500m,280510,OP,3,8,"",139,201,b1,2009-09-12,,,true
man_1500m,285050,OP,3,16,"",68,201,b1,2009-09-12,,,true
man_1500m,294840,OP,3,14,"",45,201,b4,2009-09-12,,,true
man_1500m,297860,OP,3,2,"",54,201,b3,2009-09-12,,,true
man_800m,124670,予選,8,2,"",63,201,b2,2009-09-12,,,true
man_800m,127610,予選,3,6,"",50,201,m2,2009-09-12,,,true
man_5000m,966710,予選,1,16,"",51,201,m1,2009-09-12,,q,true
man_5000m,974640,決勝,"",1,"",51,201,m1,2009-09-12,,,true
man_5000m,990270,予選,2,11,"",138,201,b4,2009-09-12,,,true
man_5000m,991320,予選,1,15,"",57,201,b3,2009-09-12,,,true
man_5000m,1000880,OP,1,15,"",53,201,b3,2009-09-12,,,true
man_5000m,1061260,OP,2,22,"",64,201,b2,2009-09-12,,,true
man_5000m,1118990,OP,3,18,"",68,201,b1,2009-09-12,,,true
man_5000m,1122300,OP,3,10,"",45,201,b4,2009-09-12,,,true
man_800m,129430,予選,6,7,"",56,201,b3,2009-09-12,,,true
man_1500m,261110,予選,2,10,"",56,202,b3,2009-09-19,,,true
man_1500m,262470,予選,3,6,"",53,202,b3,2009-09-19,,,true
man_1500m,266650,予選,1,10,"",50,202,m2,2009-09-19,,,true
man_1500m,274960,OP,1,19,"",139,202,b1,2009-09-19,,,true
man_1500m,283860,OP,1,21,"",68,202,b1,2009-09-19,,,true
man_1500m,286500,OP,1,18,"",45,202,b4,2009-09-19,,,true
man_1500m,292340,OP,3,10,"",54,202,b3,2009-09-19,,,true
man_800m,123760,予選,7,5,"",63,202,b2,2009-09-19,,,true
man_800m,125860,予選,6,7,"",56,202,b3,2009-09-19,,,true
man_800m,127270,予選,5,6,"",50,202,m2,2009-09-19,,,true
man_5000m,1072900,OP,1,17,"",139,202,b1,2009-09-19,,,true
man_5000m,1073460,OP,1,21,"",68,202,b1,2009-09-19,,,true
man_5000m,1092620,OP,1,29,"",45,202,b4,2009-09-19,,,true
man_5000m,1105460,OP,2,5,"",48,202,m2,2009-09-19,,,true
man_5000m,1123800,OP,1,26,"",54,202,b3,2009-09-19,,,true
man_3000mSC,614640,タイムレース決勝,1,1,"",51,202,m1,2009-09-19,,24位,true
man_3000mSC,620790,タイムレース決勝,1,8,"",53,202,b3,2009-09-19,,,true
man_5000m,953620,タイムレース決勝,1,3,"",138,202,b4,2009-09-19,,,true
man_5000m,965560,タイムレース決勝,2,1,"",51,202,m1,2009-09-19,,,true
man_5000m,979810,タイムレース決勝,2,25,"",57,202,b3,2009-09-19,,,true
man_5000mW,1598370,決勝,"",3,"",64,202,b2,2009-09-19,,7位 PB,true
man_800m,124540,,4,6,"",63,203,b2,2009-10-12,,,true
man_1500m,259240,,3,12,"",56,203,b3,2009-10-12,,,true
man_1500m,264280,,2,12,"",50,203,m2,2009-10-12,,,true
man_1500m,277540,,1,16,"",139,203,b1,2009-10-12,,,true
man_1500m,283780,,1,8,"",68,203,b1,2009-10-12,,,true
man_1500m,292040,,1,18,"",45,203,b4,2009-10-12,,,true
man_1500m,322790,,1,25,"",54,203,b3,2009-10-12,,,true
man_1500m,256830,,3,"","",50,205,m2,2009-10-24,,,true
man_1500m,273310,,1,"","",64,205,b2,2009-10-24,,,true
man_1500m,275180,,1,"","",139,205,b1,2009-10-24,,,true
man_10000m,2002400,,"","","",51,205,m1,2009-10-24,,,true
man_5000m,942240,,10,"","",51,205,m1,2009-10-24,,,true
man_5000m,946350,,8,"","",57,205,b3,2009-10-24,,,true
man_5000m,958440,,7,"","",138,205,b4,2009-10-24,,,true
man_5000m,1040620,,2,"","",64,205,b2,2009-10-24,,,true
man_5000m,1094710,,1,"","",45,205,b4,2009-10-24,,,true
man_1500m,263250,,2,"","",50,207,m2,2009-11-07,,,true
man_1500m,268890,,1,"","",139,207,b1,2009-11-07,,,true
man_1500m,270570,,2,"","",53,207,b3,2009-11-07,,,true
man_10000m,1987120,,1,"","",57,207,b3,2009-11-07,,,true
man_5000m,942400,,2,"","",51,207,m1,2009-11-07,,,true
man_5000m,944410,,2,"","",57,207,b3,2009-11-07,,,true
man_5000m,1011680,,2,"","",53,207,b3,2009-11-07,,,true
man_5000m,1012550,,2,"","",50,207,m2,2009-11-07,,,true
man_5000m,1021640,,2,"","",56,207,b3,2009-11-07,,,true
man_5000m,1061140,,1,"","",64,207,b2,2009-11-07,,,true
man_5000m,1101630,,1,"","",48,207,m2,2009-11-07,,,true
man_5000m,1116050,,1,"","",45,207,b4,2009-11-07,,,true
man_5000m,1136110,,1,"","",68,207,b1,2009-11-07,,,true
man_10000mW,3419030,,1,12,"",64,208,b2,2009-11-14,,,true
man_1500m,254020,,2,10,"",57,208,b3,2009-11-14,,,true
man_5000m,969160,,9,"","",57,210,b3,2009-12-06,,,true
man_5000m,983760,,4,"","",53,210,b3,2009-12-06,,,true
man_5000m,1014970,,3,"","",56,210,b3,2009-12-06,,,true
man_5000m,1020170,,3,"","",50,210,m2,2009-12-06,,,true
man_5000m,1053910,,2,"","",139,210,b1,2009-12-06,PB,,true
man_5000m,1079760,,1,"","",68,210,b1,2009-12-06,,,true
man_5000m,1091110,,1,"","",45,210,b4,2009-12-06,PB,,true
man_10000mW,2958470,,1,14,"",64,211,b2,2009-12-12,PB,,true
man_5000m,963970,,5,9,"",53,213,b3,2009-12-23,PB,,true
man_5000m,983830,,4,7,"",56,213,b3,2009-12-23,PB,,true
man_5000m,1063510,,2,23,"",68,213,b1,2009-12-23,,,true
man_5000m,1113040,,1,13,"",45,213,b4,2009-12-23,PB,,true
man_10000m,1990950,,1,5,"",51,213,m1,2009-12-23,,,true
man_10000m,2009550,,1,9,"",57,213,b3,2009-12-23,,,true
man_5000mW,1491180,,1,5,"",64,213,b2,2009-12-23,PB,,true
man_1500m,273450,記録会,4,16,"",56,91,,2006-03-25,,,true
man_800m,127340,記録会,5,"","",63,219,,2010-03-27,,,true
man_1500m,279240,記録会,3,"","",139,219,,2010-03-27,,,true
man_5000m,"",記録会,2,"","",53,219,,2010-03-27,,,true
man_5000m,991660,記録会,2,"","",51,219,,2010-03-27,,,true
man_5000m,1062070,記録会,1,"","",68,219,,2010-03-27,,,true
man_1500m,257880,記録会,"","","",56,222,,2010-04-17,,,true
man_5000m,966740,記録会,6,"","",51,222,,2010-04-17,,,true
man_5000m,983730,記録会,3,"","",56,222,,2010-04-17,PB,,true
man_5000m,1031660,記録会,1,"","",139,222,,2010-04-17,PB,,true
man_5000m,1056360,記録会,1,"","",68,222,,2010-04-17,,,true
man_5000m,1109690,記録会,1,"","",54,222,,2010-04-17,,,true
man_5000m,1073840,記録会,1,"","",68,223,,2010-05-02,,,true
man_10000mW,3372540,,"","","",64,225,,2010-05-15,ORD.36,,true
man_1500m,252780,,7,"","",66,226,,2010-05-29,,,true
man_1500m,255730,,7,"","",51,226,,2010-05-29,,,true
man_1500m,255790,,7,"","",56,226,,2010-05-29,,,true
man_1500m,276880,,3,"","",139,226,,2010-05-29,,,true
man_1500m,289360,,2,"","",54,226,,2010-05-29,,,true
man_800m,141370,,"","","",71,226,,2010-05-29,,,true
man_5000m,933490,,7,12,"",57,226,,2010-05-29,PB,,true
man_5000m,965790,,9,16,"",51,226,,2010-05-29,,,true
man_5000m,1027830,,1,11,"",68,226,,2010-05-29,PB,,true
man_5000m,1045910,,1,12,"",65,226,,2010-05-29,,,true
man_800m,121870,予選,3,8,"",63,155,,2008-05-31,PB,,true
man_800m,122750,決勝,"",7,"",63,155,,2008-05-31,,,true
man_1500m,258110,,1,"","",56,155,,2008-05-31,,,true
man_1500m,261290,,1,"","",53,155,,2008-05-31,,,true
man_1500m,280940,,1,"","",139,155,,2008-05-31,,,true
man_5000m,938810,,"","","",57,155,,2008-05-31,,,true
man_5000m,958870,,"","","",66,155,,2008-05-31,,,true
man_5000m,991830,,"","","",51,155,,2008-05-31,,,true
man_5000mW,1603450,,"","","",64,155,,2008-05-31,,,true
man_5000m,1003090,OP,3,"","",53,155,,2008-05-31,,,true
man_5000m,1068150,OP,2,"","",65,155,,2008-05-31,,,true
man_5000m,1069610,OP,1,"","",68,155,,2008-05-31,,,true
man_5000m,1161300,OP,1,"","",54,155,,2008-05-31,,,true
man_800m,137170,予選,1,4,"",71,155,,2008-05-31,,,true
man_1500m,252060,,"","","",57,227,,2010-06-19,PB,,true
man_1500m,264110,,"","","",56,227,,2010-06-19,,,true
man_5000m,949070,,"","","",66,227,,2010-06-19,,,true
man_5000m,979380,,"","","",51,227,,2010-06-19,,,true
man_800m,121170,決勝,"",8,"",63,229,,2010-07-11,,,true
man_800m,122240,予選,2,5,"",63,229,,2010-07-11,,,true
man_1500m,256130,,"",1,"",56,229,,2010-07-11,,,true
man_1500m,257620,,"",13,"",53,229,,2010-07-11,,,true
man_1500m,276920,OP,2,15,"",139,229,,2010-07-11,,,true
man_1500m,284410,OP,2,17,"",64,229,,2010-07-11,,,true
man_800m,129730,予選,3,7,"",71,229,,2010-07-11,,,true
man_5000m,940410,,1,20,"",66,229,,2010-07-11,,,true
man_5000m,971190,OP,1,24,"",51,229,,2010-07-11,,,true
man_5000m,974400,,1,14,"",57,229,,2010-07-11,,,true
man_5000m,1051840,OP,1,16,"",65,229,,2010-07-11,,,true
man_5000m,1093340,OP,1,15,"",68,229,,2010-07-11,,,true
man_5000m,1182340,OP,2,13,"",54,229,,2010-07-11,,,true
man_5000m,1230760,OP,2,20,"",62,229,,2010-07-11,,,true
man_1500m,258300,予選,2,7,"",53,230,,2010-09-11,,,true
man_1500m,259890,予選,3,8,"",51,230,,2010-09-11,,,true
man_3000mSC,663220,予選,1,17,"",68,230,,2010-09-11,,,true
man_3000mSC,616710,予選,2,15,"",65,230,,2010-09-11,,,true
man_3000mSC,613610,決勝,"",15,"",65,230,,2010-09-11,PB,5傑入り!,true
man_1500m,318690,OP,2,15,"",62,230,,2010-09-11,,,true
man_800m,120410,準決勝,1,4,"",63,230,,2010-09-11,PB,5傑入り!,true
man_800m,121020,決勝,"",6,"",63,230,,2010-09-11,,,true
man_800m,121230,予選,4,3,"",63,230,,2010-09-11,,,true
man_800m,125020,予選,2,7,"",71,230,,2010-09-11,PB,,true
man_800m,129740,予選,1,2,"",70,230,,2010-09-11,,,true
man_5000m,934140,決勝,"",10,"",66,230,,2010-09-11,,,true
man_5000m,940510,決勝,"",14,"",57,230,,2010-09-11,,,true
man_5000m,979650,予選,1,13,"",51,230,,2010-09-11,,,true
man_5000m,984900,予選,3,10,"",66,230,,2010-09-11,,,true
man_5000m,988730,決勝,"",11,"",51,230,,2010-09-11,,,true
man_5000m,998560,予選,2,13,"",57,230,,2010-09-11,,,true
man_5000m,1091650,OP,2,27,"",68,230,,2010-09-11,,,true
man_5000m,1128450,OP,1,10,"",53,230,,2010-09-11,,,true
man_5000m,1249380,OP,3,21,"",54,230,,2010-09-11,,,true
man_1500m,253400,予選,1,8,"",66,231,,2010-09-24,,,true
man_1500m,257210,予選,2,6,"",56,231,,2010-09-24,,,true
man_1500m,259630,予選,3,8,"",53,231,,2010-09-24,,,true
man_10000m,1974690,,1,1,"",51,231,,2010-09-24,,,true
man_10000m,1894480,,1,2,"",57,231,,2010-09-24,PB,入賞!3傑更新！,true
man_800m,119950,予選,5,6,"",63,231,,2010-09-24,,,true
man_800m,126890,予選,3,8,"",71,231,,2010-09-24,,,true
man_800m,129000,予選,4,7,"",70,231,,2010-09-24,PB,,true
man_3000mSC,612780,決勝,2,19,"",53,231,,2010-09-24,PB,傑記録更新,true
man_3000mSC,600500,決勝,2,21,"",65,231,,2010-09-24,PB,3傑記録更新,true
man_5000m,983600,OP,1,25,"",56,231,,2010-09-24,,,true
man_5000m,1052700,OP,3,21,"",68,231,,2010-09-24,,,true
man_5000m,1114990,OP,3,22,"",54,231,,2010-09-24,,,true
man_800m,119040,準決勝,1,8,"",63,231,,2010-09-24,PB,",3傑記録更新!",true
man_1500m,259790,OP,1,1,"",51,231,,2010-09-24,,,true
man_1500m,262280,OP,2,7,"",65,231,,2010-09-24,,,true
man_1500m,274200,OP,3,14,"",139,231,,2010-09-24,,,true
man_1500m,274610,OP,4,12,"",68,231,,2010-09-24,,,true
man_1500m,293840,OP,4,8,"",54,231,,2010-09-24,,,true
man_5000m,911800,決勝,1,27,"",57,231,,2010-09-24,PB,入賞!5傑更新！,true
man_5000m,927390,決勝,1,21,"",66,231,,2010-09-24,,5傑記録更新!,true
man_5000m,954390,決勝,1,30,"",51,231,,2010-09-24,,,true
man_1500m,305730,OP,4,4,"",62,231,,2010-09-24,PB,,true
man_800m,120290,,5,8,"",63,232,,2010-10-11,,,true
man_800m,132850,,2,2,"",70,232,,2010-10-11,,,true
man_800m,134080,,3,4,"",71,232,,2010-10-11,,,true
man_3000m,551900,,1,28,"",63,233,,2010-10-17,,電通大記録更新！！,true
man_1500m,248250,記録会,4,"","",53,234,,2010-10-23,PB,5傑入り,true
man_1500m,258750,,4,"","",56,234,,2010-10-23,,,true
man_1500m,267000,,2,"","",139,234,,2010-10-23,PB,,true
man_5000m,1029340,,1,"","",68,235,,2010-10-23,,,true
man_1500m,301010,,1,"","",54,234,,2010-10-23,,,true
man_800m,121110,,4,8,"",63,236,,2010-10-24,,,true
man_1500m,256660,,2,17,"",63,236,,2010-10-24,,,true
man_800m,125590,,5,8,"",70,236,,2010-10-24,,,true
man_800m,127840,,6,5,"",71,236,,2010-10-24,,,true
man_1500m,273550,,3,8,"",71,236,,2010-10-24,,,true
man_1500m,275610,,3,9,"",70,236,,2010-10-24,,,true
man_5000m,929670,,16,"","",66,234,,2010-10-23,,,true
man_5000m,954030,,7,"","",53,234,,2010-10-23,PB,,true
man_5000m,960830,,15,"","",51,234,,2010-10-23,,,true
man_5000m,971980,,7,"","",56,234,,2010-10-23,PB,,true
man_5000m,972150,,16,"","",57,234,,2010-10-23,,,true
man_5000m,1093580,,1,"","",54,234,,2010-10-23,,,true
man_1500m,258610,,1,"","",56,240,,2010-11-13,,,true
man_1500m,274700,,1,"","",68,8,,2001-01-01,,,true
man_5000m,916780,,14,"","",66,222,,2010-04-17,,,true
man_5000m,1006040,,5,"","",65,222,,2010-04-17,,,true
man_5000m,1162780,,3,"","",68,222,,2010-04-17,,,true
man_5000m,1164590,,1,"","",54,222,,2010-04-17,,,true
man_1500m,255210,,"","","",56,241,,2010-11-28,,,true
man_1500m,279880,,"","","",139,241,,2010-11-28,,,true
man_1500m,289930,,"","","",54,241,,2010-11-28,,,true
man_800m,131880,,"","","",71,241,,2010-11-28,,,true
man_800m,132960,,"","","",70,241,,2010-11-28,,,true
man_800m,119440,記録会,1,2,"",78,239,,2010-11-06,PB,5傑入り!,true
man_800m,123040,,2,4,"",63,239,,2010-11-06,,,true
man_1500m,282070,,"","","",116,239,,2010-11-06,,十種スコア667,true
man_10000m,2030860,,1,"","",51,222,,2010-04-17,,,true
man_10000m,1942870,,1,"","",66,222,,2010-04-17,,,true
man_5000m,982560,,9,"","",53,222,,2010-04-17,,,true
man_5000m,991770,,14,"","",51,222,,2010-04-17,,,true
man_5000m,1002030,,15,"","",57,222,,2010-04-17,,,true
man_5000m,1019270,,3,"","",68,222,,2010-04-17,PB,,true
man_5000m,1104070,,1,"","",54,222,,2010-04-17,,,true
man_1500m,265240,,"","","",53,240,,2010-11-13,,,true
man_1500m,274040,,"","","",139,240,,2010-11-13,,,true
man_5000mW,1687940,,"","","",64,244,,2010-12-23,,,true
man_3000m,691030,,"","","",62,244,,2010-12-23,,,true
man_3000m,626640,,"","","",71,244,,2010-12-23,,,true
man_5000m,951630,,"","","",57,244,,2010-12-23,,,true
man_5000m,997510,,"","","",51,244,,2010-12-23,,,true
man_5000m,1009510,,"","","",65,244,,2010-12-23,,,true
man_5000m,1030200,,"","","",56,244,,2010-12-23,,,true
man_5000m,1045210,,"","","",53,244,,2010-12-23,,,true
man_5000m,1077720,,"","","",139,244,,2010-12-23,,,true
man_5000m,1136770,,"","","",54,244,,2010-12-23,,,true
man_10000m,2209330,,"","","",68,244,,2010-12-23,,,true
man_5000m,933340,記録会,4,"","",66,247,b2,2011-03-30,,,true
man_5000m,1030130,記録会,3,"","",65,247,b2,2011-03-30,,,true
man_5000m,1062210,記録会,2,"","",68,247,b3,2011-03-30,,,true
man_5000m,"",記録会,1,"","",62,247,b3,2011-03-30,,,true
man_800m,126660,記録会,5,"","",71,247,b2,2011-03-30,PB,,true
man_1500m,"",記録会,3,"","",139,247,b3,2011-03-30,,,true
man_800m,"",記録会,12,"","",63,247,b4,2011-03-30,,,true
man_800m,121440,記録会,4,"",1,63,248,b4,2011-04-16,,,true
man_800m,128600,記録会,2,"",5,71,248,b2,2011-04-16,,,true
man_1500m,287640,記録会,3,"",6,139,248,b3,2011-04-16,,,true
man_5000m,918690,記録会,8,"",4,66,248,b2,2011-04-16,,,true
man_5000m,995500,記録会,4,"",32,65,248,b2,2011-04-16,PB,,true
man_5000m,1057620,記録会,2,"",27,68,248,b3,2011-04-16,,,true
man_800m,119960,記録会,1,"","",63,249,b4,2011-04-30,,,true
man_800m,130050,記録会,5,"","",71,249,b2,2011-04-30,,,true
man_5000m,947940,記録会,3,"","",66,249,b2,2011-04-30,,,true
man_5000m,1041900,記録会,1,"","",68,151,b3,2008-05-04,,,true
man_5000m,1184970,記録会,1,"","",62,249,b3,2011-04-30,PB,,true
man_10000mW,3009400,記録会,"","","",64,151,b4,2008-05-04,,関カレ標準突破,true
man_5000m,"",記録会,2,"","",65,249,b2,2011-04-30,,,true
man_1500m,"",記録会,2,"","",139,249,b3,2011-04-30,,,true
man_10000mW,3255530,決勝,1,"","",64,251,b4,2011-05-14,,,true
man_800m,120840,予選,3,3,1,63,155,b4,2008-05-31,,,true
man_800m,130820,予選,2,1,8,71,155,b2,2008-05-31,,,true
man_800m,132810,決勝,1,"",8,63,155,b4,2008-05-31,,,true
man_5000m,931560,決勝,1,"",8,66,155,b2,2008-05-31,,,true
man_5000m,995280,OP,2,"",7,51,155,ob,2008-05-31,,,true
man_5000m,1013790,決勝,1,"",21,68,155,b3,2008-05-31,,,true
man_5000m,1050930,決勝,1,"",24,65,155,b2,2008-05-31,,,true
man_1500m,271380,記録会,5,"","",71,252,b2,2011-06-11,PB,,true
man_10000m,"",記録会,1,"","",68,252,b3,2011-06-11,,,true
man_800m,"",記録会,5,"","",63,252,b4,2011-06-11,,,true
man_800m,120280,記録会,6,"","",63,253,b4,2011-06-25,,,true
man_800m,127070,記録会,4,"","",139,253,b3,2011-06-25,PB,,true
man_1500m,250270,記録会,5,4,"",66,253,b2,2011-06-25,,,true
man_1500m,267270,記録会,4,12,"",71,253,b2,2011-06-25,PB,,true
man_5000m,1041710,記録会,2,21,"",68,253,b3,2011-06-25,,,true
man_5000m,"",記録会,1,18,"",64,253,b4,2011-06-25,,,true
man_5000m,"",記録会,"","","",62,253,b3,2011-06-25,,,true
man_1500m,"",記録会,"","","",63,253,b4,2011-06-25,,,true
man_1500m,267830,記録会,"","","",68,151,b3,2008-05-04,PB,,true
man_800m,132970,記録会,1,1,4,70,138,b2,2007-11-11,,,true
woman_800m,144040,記録会,2,6,4,75,138,b1,2007-11-11,,電通大記録更新,true
man_1500m,269850,予選,2,9,9,68,256,b3,2011-09-02,,,true
man_1500m,278210,予選,3,11,12,71,256,b2,2011-09-02,,,true
man_3000mSC,633940,予選,2,12,7,74,256,b1,2011-09-02,,,true
man_3000mSC,638140,決勝,1,6,10,74,256,b1,2011-09-02,,,true
man_3000mSC,"",予選,1,5,"",65,256,b2,2011-09-02,,,true
man_800m,122370,準決勝,1,7,4,63,256,b4,2011-09-02,,,true
man_800m,126170,予選,3,4,2,63,256,b4,2011-09-02,,,true
man_800m,131760,予選,8,3,3,139,256,b3,2011-09-02,,,true
man_800m,134020,予選,4,3,6,70,256,b2,2011-09-02,,,true
man_5000m,949460,決勝,1,12,3,66,256,b2,2011-09-02,,,true
woman_800m,149060,決勝,2,5,1,75,256,b1,2011-09-02,,優勝,true
man_5000m,993600,予選,3,9,1,66,256,b2,2011-09-02,,,true
man_5000m,1023590,予選,2,11,8,87,256,b1,2011-09-02,,,true
man_5000m,1070570,予選,1,21,12,68,256,b3,2011-09-02,,,true
woman_800m,154620,予選,2,5,1,75,256,b1,2011-09-02,,,true
man_5000m,1251000,OP,3,26,23,62,256,b3,2011-09-02,,,true
man_1500m,257700,予選,2,4,12,87,257,b1,2011-09-17,,,true
man_1500m,266240,予選,3,14,16,71,257,b2,2011-09-17,PB,,true
man_1500m,269610,予選,1,16,18,74,257,b1,2011-09-17,,,true
man_10000m,"",決勝,1,14,"",66,257,b2,2011-09-17,,,true
man_10000m,"",決勝,2,15,"",68,257,b3,2011-09-17,,,true
man_800m,119330,予選,7,3,2,63,257,b4,2011-09-17,,,true
man_800m,128300,予選,6,8,4,139,257,b3,2011-09-17,,,true
man_800m,131200,予選,4,8,6,70,257,b2,2011-09-17,,,true
woman_800m,143290,予選,2,3,2,75,257,b1,2011-09-17,,,true
man_5000m,1223240,OP,3,41,26,62,257,b3,2011-09-17,,,true
man_800m,120550,準決勝,"","",7,63,257,b4,2011-09-17,,,true
woman_800m,143100,決勝,1,1,5,75,257,b1,2011-09-17,PB,電通大記録更新,true
man_3000mSC,636790,決勝,2,10,9,74,257,b1,2011-09-17,,,true
man_5000m,940970,決勝,1,18,9,66,257,b2,2011-09-17,,,true
man_5000m,1023790,決勝,2,5,14,87,257,b1,2011-09-17,,,true
man_5000m,1059940,決勝,3,25,21,68,257,b3,2011-09-17,,,true
man_10000mW,"",決勝,1,8,"",64,257,b4,2011-09-17,,,true
man_3000mSC,"",決勝,2,9,"",65,257,b2,2011-09-17,,,true
man_800m,122900,記録会,8,6,"",63,253,b4,2011-06-25,,,true
man_800m,126600,記録会,7,5,"",74,253,b1,2011-06-25,,,true
man_800m,129280,記録会,5,5,"",139,253,b3,2011-06-25,,,true
man_5000m,956710,記録会,2,"","",66,253,b2,2011-06-25,,,true
man_5000m,987840,記録会,2,"","",87,253,b1,2011-06-25,,,true
man_5000m,1012550,記録会,1,"","",74,253,b1,2011-06-25,PB,,true
man_5000m,1038370,記録会,1,"","",68,253,b3,2011-06-25,,,true
man_800m,127210,記録会,1,4,2,74,258,b1,2011-10-29,,,true
man_10000m,1921960,記録会,1,21,6,66,258,b2,2011-10-29,,,true
man_5000m,993180,記録会,3,9,4,74,258,b1,2011-10-29,,,true
man_5000m,998340,記録会,6,20,36,87,258,b1,2011-10-29,,,true
man_5000m,1022740,記録会,2,2,7,68,258,b3,2011-10-29,,,true
man_800m,120560,記録会,3,2,2,69,260,b3,2011-11-05,,,true
man_800m,120910,決勝,1,3,2,63,262,b4,2011-11-26,,,true
man_800m,122300,予選,3,4,2,63,262,b4,2011-11-26,,,true
man_800m,122610,予選,2,7,3,119,262,b2,2011-11-26,,,true
man_1500m,262700,決勝,1,7,3,74,262,b1,2011-11-26,,,true
man_1500m,266930,決勝,1,6,5,71,262,b2,2011-11-26,,,true
man_800m,133110,決勝,1,1,8,119,262,b2,2011-11-26,,,true
man_1500m,348550,OP,1,3,8,140,262,b1,2011-11-26,,,true
man_5000m,914480,決勝,1,6,4,66,262,b2,2011-11-26,,,true
man_5000m,969860,決勝,1,19,13,87,262,b1,2011-11-26,,,true
man_5000m,1005740,OP,2,26,15,65,262,b2,2011-11-26,,,true
